id,title,count
1,A,3998
2,B,5460
3,C,6312
4,D,4552
5,E,2366
6,F,3031
7,G,3198
8,H,3046
9,I,1965
10,J,946
11,K,2210
12,L,3086
13,M,5304
14,N,1656
15,O,1449
16,P,4822
17,Q,318
18,R,4126
19,S,8086
20,T,3372
21,U,1135
22,V,1344
23,W,1861
24,X,42
25,Y,425
26,Z,513
